                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77706,                  2.839,                0.96674,                      1,                0.20013,                0.92345,                0.73949,                0.66123,                  3.106,                0.86552,             0.00065079,             0.00065079,             0.00065079
                      2,                0.86105,                 1.9489,                0.95501,                      1,                0.22127,                 0.6553,                0.47899,                0.72759,                 3.2325,                0.96671,              0.0012849,              0.0012849,              0.0012849
                      3,                 0.8623,                 1.8008,                0.98469,                0.86524,                0.85631,                0.91009,                0.68673,                0.85072,                 2.3399,                 1.0288,              0.0018859,              0.0018859,              0.0018859
                      4,                0.89079,                 1.9658,                 1.0343,                0.91968,                0.83333,                0.88792,                0.65392,                0.83244,                 2.6221,                0.98212,              0.0018515,              0.0018515,              0.0018515
                      5,                0.94933,                 1.5719,                 1.0293,                0.79514,                0.86667,                 0.8116,                0.61155,                0.87536,                 2.4604,                0.97152,              0.0018515,              0.0018515,              0.0018515
                      6,                0.94582,                 1.5409,                0.99727,                0.39606,                0.78707,                0.48754,                0.34478,                 0.9161,                 3.5472,                0.98424,               0.001802,               0.001802,               0.001802
                      7,                0.93794,                 1.4954,                 1.0419,                0.83358,                0.83484,                0.89218,                0.66884,                0.87865,                 2.1415,                 0.9855,              0.0017525,              0.0017525,              0.0017525
                      8,                0.88736,                 1.3869,                0.99989,                 0.8927,                    0.9,                0.97068,                0.71807,                0.86429,                 1.7478,                0.97972,               0.001703,               0.001703,               0.001703
                      9,                0.84951,                 1.2883,                 1.0005,                0.93615,                0.97769,                0.98987,                0.77339,                0.76065,                 1.3705,                0.92106,              0.0016535,              0.0016535,              0.0016535
                     10,                 0.7848,                  1.242,                0.97191,                0.83133,                0.82174,                0.85598,                0.68195,                0.74987,                 1.5037,                0.91699,               0.001604,               0.001604,               0.001604
                     11,                0.79236,                 1.2539,                0.95663,                0.93541,                 0.9655,                0.97392,                0.79833,                0.71944,                 1.3063,                0.90299,              0.0015545,              0.0015545,              0.0015545
                     12,                0.82719,                 1.2271,                  1.006,                0.87762,                0.95642,                0.91862,                0.73154,                0.71981,                 1.4027,                0.91516,               0.001505,               0.001505,               0.001505
                     13,                 0.7886,                 1.1304,                0.99631,                0.95002,                0.86667,                0.96702,                0.79807,                0.66068,                 1.2031,                0.90849,              0.0014555,              0.0014555,              0.0014555
                     14,                0.75078,                 1.0865,                0.95595,                0.89599,                0.93333,                 0.9346,                0.74843,                0.73184,                 1.1832,                 0.9077,               0.001406,               0.001406,               0.001406
                     15,                0.73887,                 1.0567,                0.95643,                0.99759,                0.93333,                0.96777,                0.79826,                0.65146,                 1.0436,                0.90096,              0.0013565,              0.0013565,              0.0013565
                     16,                0.70972,                0.96431,                0.93964,                0.93495,                    0.9,                0.96628,                0.79953,                0.63729,                 1.1243,                0.88441,               0.001307,               0.001307,               0.001307
                     17,                0.67243,                  0.934,                0.92799,                0.96654,                0.96294,                0.97409,                0.80385,                0.64593,                0.93023,                0.90369,              0.0012575,              0.0012575,              0.0012575
                     18,                0.68466,                0.87239,                0.94968,                0.93712,                0.99372,                0.95527,                0.76439,                0.68755,                0.98549,                0.90141,               0.001208,               0.001208,               0.001208
                     19,                0.68378,                0.83107,                0.93645,                0.92872,                0.96667,                0.96275,                0.80003,                0.63408,                0.95524,                0.88284,              0.0011585,              0.0011585,              0.0011585
                     20,                0.72788,                0.84122,                0.92983,                0.96663,                0.96566,                0.98166,                0.82259,                0.61619,                0.80484,                0.87417,               0.001109,               0.001109,               0.001109
                     21,                 0.6151,                 0.8112,                0.91954,                0.96524,                0.96667,                0.96433,                0.81735,                0.62459,                0.79681,                0.88447,              0.0010595,              0.0010595,              0.0010595
                     22,                0.66167,                0.78649,                0.92207,                 0.9052,                0.96667,                0.95887,                0.82802,                0.59309,                0.80592,                0.87312,                0.00101,                0.00101,                0.00101
                     23,                0.67845,                0.77315,                0.93235,                0.85109,                0.96667,                0.96943,                0.84683,                0.64068,                0.83666,                0.88405,              0.0009605,              0.0009605,              0.0009605
                     24,                0.64648,                 0.7565,                0.90252,                0.97905,                    0.9,                0.98652,                0.85049,                0.63384,                0.74349,                 0.8814,               0.000911,               0.000911,               0.000911
                     25,                0.63521,                 0.6983,                0.89778,                 0.9869,                0.93333,                0.98878,                0.84499,                0.66825,                0.74973,                0.89567,              0.0008615,              0.0008615,              0.0008615
                     26,                0.63121,                0.77594,                0.92866,                0.96347,                0.96667,                0.98405,                0.84666,                0.59704,                0.69911,                  0.883,               0.000812,               0.000812,               0.000812
                     27,                 0.6133,                0.71091,                0.92308,                0.96235,                0.96667,                0.98166,                0.84052,                0.59418,                0.72991,                 0.8821,              0.0007625,              0.0007625,              0.0007625
                     28,                 0.5469,                0.66543,                 0.8685,                0.99201,                0.96667,                0.98415,                0.85549,                0.59013,                0.64533,                0.87715,               0.000713,               0.000713,               0.000713
                     29,                0.56218,                  0.624,                 0.8774,                0.99172,                0.96667,                0.98231,                0.86183,                0.54495,                0.65627,                0.86745,              0.0006635,              0.0006635,              0.0006635
                     30,                0.61336,                0.66672,                0.91876,                0.99001,                0.96667,                0.98231,                0.86836,                0.52947,                0.67035,                0.86214,               0.000614,               0.000614,               0.000614
                     31,                0.51225,                0.64159,                0.88056,                0.99439,                0.96667,                0.98167,                0.88532,                0.50442,                 0.7179,                0.85366,              0.0005645,              0.0005645,              0.0005645
                     32,                0.50834,                0.63838,                0.86524,                0.99657,                0.96667,                  0.985,                0.87724,                0.51458,                0.62636,                0.85739,               0.000515,               0.000515,               0.000515
                     33,                0.47255,                0.57875,                0.85797,                0.99667,                0.96667,                0.98643,                0.88431,                0.54191,                0.64562,                0.86198,              0.0004655,              0.0004655,              0.0004655
                     34,                0.45263,                0.54594,                0.85721,                0.99609,                0.96667,                0.98808,                0.86229,                0.53327,                0.60985,                0.86532,               0.000416,               0.000416,               0.000416
                     35,                0.43146,                0.53343,                0.84212,                0.99632,                0.96667,                   0.99,                0.86428,                0.51266,                0.57425,                0.86347,              0.0003665,              0.0003665,              0.0003665
                     36,                0.45086,                0.52621,                 0.8352,                0.99661,                0.96667,                   0.99,                0.89416,                0.49307,                0.53624,                0.85668,               0.000317,               0.000317,               0.000317
                     37,                0.41917,                0.49933,                0.83304,                 0.9971,                0.96667,                0.98932,                0.87054,                0.49394,                0.51243,                0.85308,              0.0002675,              0.0002675,              0.0002675
                     38,                0.43888,                0.51374,                0.82699,                 0.9971,                0.96667,                   0.99,                0.87365,                0.50021,                 0.5079,                0.85074,               0.000218,               0.000218,               0.000218
                     39,                 0.4286,                0.49181,                0.82234,                0.99585,                0.96667,                0.99071,                0.87695,                0.49659,                0.51468,                0.84987,              0.0001685,              0.0001685,              0.0001685
                     40,                0.40421,                0.47894,                0.81675,                0.99549,                0.96667,                0.99147,                0.87789,                0.49811,                0.51396,                0.85128,               0.000119,               0.000119,               0.000119
